Ano;CodOrgao;SiglaPPG;NomePPG;NivelCursoPG;NrMatriculados;NrTitulados
2014;698;PPGCMH;Programa de Pós-Graduação em Ciências do Movimento Humano;Doutorado;83;8
2018;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;114;20
2010;653;PPGEDU;Programa de Pós-Graduação em Educação;Mestrado Acadêmico;253;5
2017;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;40;9
2018;7946;PPGCLIC;Programa de Pós-Graduação em Psicanálise: Clínica e Cultura;Mestrado Acadêmico;72;26
2016;1638;MPENG;Programa de Pós-Graduação em Engenharia - Mestrado Profissionalizante;Mestrado Profissional;1;0
2018;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Acadêmico;78;28
2010;427;PPGDIR;Programa de Pós-Graduação em Direito;Doutorado;55;11
2015;9086;PPGAOA;Programa de Pós-Graduação em Alimentos de Origem Animal - Mestrado Profissionalizante;Mestrado Profissional;10;0
2016;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Mestrado Acadêmico;37;8
2013;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Doutorado;65;9
2022;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;88;21
2012;1859;PPGCTA;Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos;Mestrado Acadêmico;41;11
2011;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Profissional;105;44
2022;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;40;6
2013;1275;PPGODONT;Programa de Pós-Graduação em Odontologia;Mestrado Acadêmico;110;54
2019;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Doutorado;24;2
2013;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Doutorado;118;29
2010;427;PPGDIR;Programa de Pós-Graduação em Direito;Mestrado Acadêmico;111;6
2022;2685;PPGCMED;Programa de Pós-Graduação em Ciências Médicas;Doutorado;83;16
2022;691;PPGARQ;Programa de Pós-Graduação em Arquitetura;Mestrado Acadêmico;68;8
2020;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Profissional;25;3
2021;1376;PPGMAA;Programa de Pós-Graduação em Microbiologia Agrícola e do Ambiente;Mestrado Acadêmico;39;12
2014;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Doutorado;42;4
2015;412;PPGCARD;Programa de Pós-Graduação em Ciências da Saúde: Cardiologia e Ciências Cardiovasculares;Mestrado Acadêmico;35;12
2020;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;105;30
2018;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Doutorado;106;25
2013;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Doutorado;77;9
2021;12589;PPECO;Programa de Pós-Graduação Profissional em Economia;Mestrado Profissional;40;0
2020;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Doutorado;115;18
2023;10420;PPGCI;Programa de Pós-Graduação em Engenharia Civil: Construção e Infraestrutura;Mestrado Acadêmico;81;12
2022;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;30;8
2019;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;36;6
2020;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Mestrado Acadêmico;38;22
2020;5379;PPGASFAR;Programa de Pós-Graduação em Assistência Farmacêutica;Mestrado Acadêmico;21;6
2015;1132;PPGMAPLI;Programa de Pós-Graduação em Matemática Aplicada;Mestrado Acadêmico;19;7
2021;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Mestrado Acadêmico;59;12
2020;1374;PPGFITO;Programa de Pós-Graduação em Fitotecnia;Doutorado;52;9
2014;392;PPGEC;Programa de Pós-Graduação em Engenharia Civil;Doutorado;91;18
2022;2612;PPGENFIS;Programa de Pós-Graduação em Ensino de Física;Mestrado Acadêmico;30;7
2020;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Doutorado;104;10
2020;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Doutorado;79;11
2021;1223;PPGIE;Programa de Pós-Graduação em Informática na Educação;Doutorado;125;16
2016;601;PPGBOT;Programa de Pós-Graduação em Botânica;Doutorado;60;12
2021;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Mestrado Acadêmico;38;8
2010;603;PPGFISIO;Programa de Pós-Graduação em Ciências Biológicas: Fisiologia;Mestrado Acadêmico;46;15
2016;1859;PPGCTA;Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos;Mestrado Acadêmico;41;12
2020;6313;PPGCOL;Programa de Pós-Graduação em Saúde Coletiva;Mestrado Acadêmico;90;23
2022;5379;PPGASFAR;Programa de Pós-Graduação em Assistência Farmacêutica;Doutorado;9;0
2023;585;PPGQUI;Programa de Pós-Graduação em Química;Mestrado Acadêmico;86;16
2019;653;PPGEDU;Programa de Pós-Graduação em Educação;Mestrado Acadêmico;215;72
2020;1521;PPGBCM;Programa de Pós-Graduação em Biologia Celular e Molecular;Doutorado;67;11
2012;6313;PPGCOL;Programa de Pós-Graduação em Saúde Coletiva;Mestrado Acadêmico;20;0
2013;2685;PPGCMED;Programa de Pós-Graduação em Ciências Médicas;Doutorado;146;29
2011;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Doutorado;73;9
2011;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Acadêmico;394;53
2010;684;PPGLET;Programa de Pós-Graduação em Letras;Mestrado Acadêmico;191;40
2018;605;PPGNEURO;Programa de Pós-Graduação em Ciências Biológicas: Neurociências;Mestrado Acadêmico;36;14
2021;10339;PPGMUSPA;Programa de Pós-Graduação em Museologia e Patrimônio;Mestrado Acadêmico;46;10
2016;418;PPGPSQ;Programa de Pós-Graduação em Psiquiatria e Ciências do Comportamento;Mestrado Acadêmico;44;13
2011;1376;PPGMAA;Programa de Pós-Graduação em Microbiologia Agrícola e do Ambiente;Mestrado Acadêmico;50;15
2023;476;PPGCP;Programa de Pós-Graduação em Ciência Política;Doutorado;77;8
2014;443;PPGA;Programa de Pós-Graduação em Administração;Doutorado;105;17
2022;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Profissional;8;0
2014;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Doutorado;88;16
2018;1139;PPGCOMINF;Programa de Pós-Graduação em Comunicação e Informação;Mestrado Acadêmico;71;31
2016;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Doutorado;54;14
2011;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Mestrado Acadêmico;82;9
2011;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Mestrado Acadêmico;52;12
2014;5730;PPGNANO;Programa de Pós-Graduação em Nanotecnologia Farmacêutica;Doutorado;8;4
2022;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Mestrado Acadêmico;42;13
2010;445;PGDR;Programa de Pós-Graduação em Desenvolvimento Rural;Mestrado Acadêmico;53;18
2020;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;33;11
2012;585;PPGQUI;Programa de Pós-Graduação em Química;Mestrado Profissional;9;2
2013;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Mestrado Acadêmico;61;20
2017;602;PPGECOL;Programa de Pós-Graduação em Ecologia;Doutorado;39;6
2011;706;PPGCC;Programa de Pós-Graduação em Computação;Mestrado Acadêmico;197;25
2010;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;38;0
2015;684;PPGLET;Programa de Pós-Graduação em Letras;Mestrado Acadêmico;189;59
2019;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Doutorado;18;6
2016;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Doutorado;58;15
2023;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Mestrado Acadêmico;28;7
2011;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Acadêmico;43;8
2023;475;PPGANT;Programa de Pós-Graduação em Antropologia Social;Doutorado;71;16
2017;1638;MPENG;Programa de Pós-Graduação em Engenharia - Mestrado Profissionalizante;Mestrado Profissional;1;0
2013;2612;PPGENFIS;Programa de Pós-Graduação em Ensino de Física;Doutorado;19;4
2012;1433;PGGEA;Programa de Pós-Graduação em Geografia;Doutorado;66;6
2018;1313;PPGENF;Programa de Pós-Graduação em Enfermagem;Mestrado Acadêmico;53;16
2018;706;PPGCC;Programa de Pós-Graduação em Computação;Mestrado Acadêmico;201;44
